City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,rodrigues alves,-7.738,-72.6509,22.75,95,87,0.76,BR,1681269578
281,buin,-33.7333,-70.75,22.29,82,99,0.92,CL,1681269578
282,san jose,37.3394,-121.895,13.78,60,0,6.69,US,1681268932
283,yar-sale,66.8333,70.8333,-24.82,97,29,3.49,RU,1681269579
284,ilulissat,69.2167,-51.1,-10.71,82,92,2.28,GL,1681269579
285,nome,64.5011,-165.4064,-15.96,60,0,2.06,US,1681269579
286,lata,40.1629,-8.3327,11.15,88,99,1.14,PT,1681269579
287,moree,-29.4667,149.85,24.07,26,46,2.09,AU,1681269579
288,kristoni,40.9556,22.8553,12.79,74,19,2.52,GR,1681269580
289,saint george,37.1041,-113.5841,26.64,21,0,2.57,US,1681269316
290,sipe sipe,-17.45,-66.3833,14.78,71,45,1.61,BO,1681269580
291,beihai,21.4833,109.1,24.78,81,100,4.63,CN,1681269580
292,kadhan,24.481,68.9859,26.25,64,9,5.09,PK,1681269580
293,fare,-16.7,-151.0167,27.53,74,100,3.24,PF,1681269580
294,ixtapa,20.7,-105.2,23.57,83,0,3.09,MX,1681269580
295,liverpool,53.4106,-2.9779,5.97,75,31,7.2,GB,1681269122
296,okhotsk,59.3833,143.3,-4.41,71,7,1.51,RU,1681269583
297,sibu,2.3,111.8167,32.62,54,48,0.48,MY,1681269547
298,loandjili,-4.7561,11.8578,25.86,86,100,0.64,CG,1681269584
299,macusani,-14.0833,-70.4333,2.58,98,97,1.59,PE,1681269584
300,yacuiba,-22.038,-63.6797,20.64,75,1,1.71,BO,1681269585
301,oxapampa,-10.5775,-75.4017,15.42,94,64,0.98,PE,1681269585
302,los llanos de aridane,28.6585,-17.9182,17.86,83,0,7.2,ES,1681269586
303,labuhan,-6.8844,112.2051,29.24,70,98,2.63,ID,1681269587
304,waycross,31.2136,-82.354,16.14,75,0,0.0,US,1681269587
305,bara,10.3744,10.7288,25.23,40,99,1.9,NG,1681269323
306,ojinaga,29.5667,-104.4167,26.34,29,0,4.63,MX,1681269588
307,nushki,29.5542,66.0215,24.09,25,0,1.12,PK,1681269588
308,mehamn,71.0357,27.8492,-0.05,64,100,5.14,NO,1681269423
309,nara,34.6851,135.8049,18.31,73,100,4.46,JP,1681269040
310,luba,3.4568,8.5547,23.94,80,100,1.81,GQ,1681269589
311,lundazi,-12.2929,33.1782,17.02,97,56,2.14,ZM,1681269589
312,saint-augustin,51.226,-58.6502,0.77,99,100,0.09,CA,1681269589
313,mullingar,53.5333,-7.35,0.93,83,19,6.46,IE,1681269589
314,tigre,-34.426,-58.5796,25.03,69,54,0.45,AR,1681269371
315,orumiyeh,37.5527,45.0761,9.03,83,97,2.39,IR,1681269590
316,krk,45.0258,14.5731,10.82,73,92,4.07,HR,1681269590
317,leninskoye,41.7589,69.3864,14.31,50,54,1.26,KZ,1681269591
318,peniche,39.3558,-9.3811,15.72,92,58,4.89,PT,1681269591
319,san cristobal,7.7669,-72.225,20.03,86,79,0.74,VE,1681268890
320,touros,-5.1989,-35.4608,24.77,83,36,3.76,BR,1681269591
321,alekseyevka,50.6309,38.6903,9.52,59,100,5.45,RU,1681269591
